"산업별",2015,2020
"산업별",매출액,매출액
"석탄  원유 및 천연가스 광업",X,0
"금속 광업",X,X
"비금속광물 광업(연료용 제외)",393106,273220
"광업 지원 서비스업",0,0
"식료품 제조업",60342480,70620399
"음료 제조업",9087312,9892933
"담배 제조업",4117454,4576273
"섬유제품 제조업; 의복제외",9737532,8041561
"의복, 의복액세서리 및 모피제품 제조업",23627915,20138786
"가죽, 가방 및 신발 제조업",4838012,3193698
"목재 및 나무제품 제조업;가구제외",2118859,1963632
"펄프, 종이 및 종이제품 제조업",14690693,14533594
"인쇄 및 기록매체 복제업",1438511,1979296
"코크스, 연탄 및 석유정제품 제조업",95827391,81643387
"화학물질 및 화학제품 제조업;의약품 제외",142513093,149314271
"의료용 물질 및 의약품 제조업",21195846,31680609
"고무제품 및 플라스틱제품 제조업",33264438,37427403
"비금속 광물제품 제조업",22934452,22211254
"1차 금속 제조업",108122134,113635105
"금속가공제품 제조업;기계 및 가구 제외",34426057,29351943
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",310614131,328398480
"의료, 정밀, 광학기기 및 시계 제조업",10946861,18572937
"전기장비 제조업",36752157,91662986
"기타 기계 및 장비 제조업",60344108,70524422
"자동차 및 트레일러 제조업",221983251,214044079
"기타 운송장비 제조업",73766322,43224419
"가구 제조업",4677401,5765187
"기타 제품 제조업",3877133,2228134
"산업용 기계 및 장비 수리업",796991,1045503
"전기 가스 증기 및 공기조절 공급업",59063130,56314799
"하수  폐수 및 분뇨 처리업",863914,1011203
"폐기물 수집운반  처리 및 원료재생업",2716626,3349224
"환경 정화 및 복원업",61388,135268
"종합건설업",135107848,148797581
"전문직별 공사업",26982910,25103733
"자동차 및 부품 판매업",23667926,31069276
"도매 및 상품중개업",186262259,234458263
"소매업; 자동차제외",98350366,126929271
"육상운송 및 파이프라인 운송업",18446304,24721021
"수상 운송업",26463359,19667688
"항공 운송업",18791569,12284455
"창고 및 운송관련 서비스업",28836000,33384840
"숙박업",13304441,9139180
"음식점 및 주점업",12363332,18603188
"출판업",22864846,38185197
"영상 오디오 기록물 제작 및 배급업",3732246,4654857
"방송업",8828593,7081493
"우편 및 통신업",48347727,53216083
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",20359521,21140756
"정보서비스업",6702782,12446940
"금융업",266692480,397198045
"보험 및 연금업",211714150,250433684
"금융 및 보험 관련 서비스업",79930679,166038046
"부동산업",15740822,15325864
"연구개발업",1494077,2167464
"전문서비스업",7876078,12283629
"건축기술, 엔지니어링 및 기타 과학기술 서비스업",18000043,20446779
"기타 전문, 과학 및 기술 서비스업",416553,2750335
"사업시설 관리 및 조경 서비스업",4799346,6616939
"사업지원 서비스업",15495286,20889394
"임대업; 부동산 제외",3119454,6742104
"교육 서비스업",2260060,3225718
"보건업",10600,118501
"사회복지 서비스업",83354,136283
"창작, 예술 및 여가관련 서비스업",306563,452089
"스포츠 및 오락관련 서비스업",6469893,6624242
"개인 및 소비용품 수리업",2262215,2837462
"기타 개인 서비스업",542715,686883
