"산업별",2015,2020
"산업별",유동자산,유동자산
"석탄  원유 및 천연가스 광업",X,0
"금속 광업",X,X
"비금속광물 광업(연료용 제외)",147296,118188
"광업 지원 서비스업",0,0
"식료품 제조업",21007545,25036355
"음료 제조업",3676634,3627189
"담배 제조업",4147948,4863455
"섬유제품 제조업; 의복제외",4545519,4326232
"의복, 의복액세서리 및 모피제품 제조업",12434386,11635336
"가죽, 가방 및 신발 제조업",2322522,2261948
"목재 및 나무제품 제조업;가구제외",771639,818543
"펄프, 종이 및 종이제품 제조업",5154928,6111373
"인쇄 및 기록매체 복제업",467066,726294
"코크스, 연탄 및 석유정제품 제조업",24115979,22518962
"화학물질 및 화학제품 제조업;의약품 제외",52034652,58310819
"의료용 물질 및 의약품 제조업",15948450,24927277
"고무제품 및 플라스틱제품 제조업",12875365,16442502
"비금속 광물제품 제조업",11334348,13130696
"1차 금속 제조업",43379776,60416799
"금속가공제품 제조업;기계 및 가구 제외",18407198,16064330
"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",137869859,155012016
"의료, 정밀, 광학기기 및 시계 제조업",7132497,14380421
"전기장비 제조업",15952685,41657872
"기타 기계 및 장비 제조업",31330970,40629105
"자동차 및 트레일러 제조업",85120365,97511151
"기타 운송장비 제조업",45684530,35329216
"가구 제조업",1548830,1752940
"기타 제품 제조업",2131180,1298220
"산업용 기계 및 장비 수리업",409299,553860
"전기 가스 증기 및 공기조절 공급업",15940148,21726342
"하수  폐수 및 분뇨 처리업",212022,528728
"폐기물 수집운반  처리 및 원료재생업",1037265,1528798
"환경 정화 및 복원업",21898,47992
"종합건설업",93245826,95392193
"전문직별 공사업",15401662,9316733
"자동차 및 부품 판매업",4930705,8184463
"도매 및 상품중개업",63983436,84020244
"소매업; 자동차제외",23765727,35983694
"육상운송 및 파이프라인 운송업",3498474,4793227
"수상 운송업",5141964,5540203
"항공 운송업",3736327,5122059
"창고 및 운송관련 서비스업",7175965,10236090
"숙박업",4383452,5266451
"음식점 및 주점업",2085254,4702354
"출판업",14866746,27866934
"영상 오디오 기록물 제작 및 배급업",2163507,3598270
"방송업",5256417,4813613
"우편 및 통신업",12678952,15077110
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",9603786,11025100
"정보서비스업",5096420,8599593
"금융업",1894754014,2799047068
"보험 및 연금업",727894917,1026240799
"금융 및 보험 관련 서비스업",365240788,556834817
"부동산업",14496347,19067705
"연구개발업",1450533,4694906
"전문서비스업",5171677,8953551
"건축기술, 엔지니어링 및 기타 과학기술 서비스업",10277472,10747811
"기타 전문, 과학 및 기술 서비스업",250508,2619904
"사업시설 관리 및 조경 서비스업",1223756,1702665
"사업지원 서비스업",4264222,6842374
"임대업; 부동산 제외",996558,2160595
"교육 서비스업",785663,1101038
"보건업",24807,70121
"사회복지 서비스업",27623,41601
"창작, 예술 및 여가관련 서비스업",114260,277893
"스포츠 및 오락관련 서비스업",5540873,6310333
"개인 및 소비용품 수리업",467149,532430
"기타 개인 서비스업",727990,1157241
