"산업분류","규모별",2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 1/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2020 2/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2,2021 1/2
"산업분류","규모별",상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원),상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원),상용총근로시간 (시간),상용소정실근로시간 (시간),상용초과근로시간 (시간),상용정액급여 (원),상용초과급여 (원),상용특별급여 (원)
"석탄, 원유 및 천연가스 광업","5~9인",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"석탄, 원유 및 천연가스 광업","10~29인",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"석탄, 원유 및 천연가스 광업","30~99인",175.1,160.5,14.6,4649736,504809,736253,176.9,161.8,15.1,4505963,563020,947040,175.1,159.6,15.4,4754311,578219,675995
"석탄, 원유 및 천연가스 광업","100~299인",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"석탄, 원유 및 천연가스 광업","300인이상",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"금속 광업","5~9인",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"금속 광업","10~29인",,,,,,,,,,,,,,,,,,
"금속 광업","30~99인",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"금속 광업","100~299인",,,,,,,,,,,,,,,,,,
"금속 광업","300인이상",,,,,,,,,,,,,,,,,,
"비금속광물 광업; 연료용 제외","5~9인",176.4,172.4,4.1,3063292,72855,137127,185.0,177.7,7.2,2992498,130907,126563,184.0,177.5,6.6,3071733,144778,111814
"비금속광물 광업; 연료용 제외","10~29인",197.3,175.3,22.0,3473992,443126,184270,203.3,178.5,24.8,3535477,485969,219820,197.6,175.1,22.5,3582813,452164,147595
"비금속광물 광업; 연료용 제외","30~99인",197.4,167.9,29.4,3532350,629498,305695,202.0,169.2,32.8,3480310,748087,483886,201.1,167.4,33.7,3551587,789443,379733
"비금속광물 광업; 연료용 제외","100~299인",,,,,,,,,,,,,,,,,,
"비금속광물 광업; 연료용 제외","300인이상",,,,,,,,,,,,,,,,,,
"광업 지원 서비스업","5~9인",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"광업 지원 서비스업","10~29인",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"광업 지원 서비스업","30~99인",,,,,,,,,,,,,,,,,,
"광업 지원 서비스업","100~299인",,,,,,,,,,,,,,,,,,
"광업 지원 서비스업","300인이상",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"식료품 제조업","5~9인",162.6,159.7,2.9,2421047,32955,250795,166.3,162.3,3.9,2558854,62391,349015,165.2,161.1,4.1,2608964,47021,272207
"식료품 제조업","10~29인",165.7,158.2,7.5,2394755,133333,141332,172.9,162.4,10.5,2405897,176831,187038,169.3,160.8,8.5,2484472,145362,147928
"식료품 제조업","30~99인",172.7,157.8,14.9,2563914,310741,266073,177.7,160.9,16.8,2665377,337584,326708,175.6,158.3,17.3,2660705,352896,255349
"식료품 제조업","100~299인",193.9,155.7,38.3,2379317,762286,503873,195.1,157.9,37.3,2415673,779265,552279,188.3,154.0,34.3,2424079,721470,548120
"식료품 제조업","300인이상",195.3,154.6,40.7,2439799,880827,563091,197.5,156.4,41.2,2507354,891764,703421,193.5,153.2,40.4,2479629,871814,556833
"음료 제조업","5~9인",168.8,162.7,6.2,2536343,94650,353304,167.2,161.5,5.7,2593460,92635,365401,164.8,160.1,4.6,2619403,81141,336635
"음료 제조업","10~29인",159.6,150.2,9.4,2640296,208776,280704,160.5,152.0,8.4,2636684,171963,244886,159.3,150.2,9.1,2757996,204705,358537
"음료 제조업","30~99인",179.4,156.9,22.5,2934767,474469,564045,178.4,157.7,20.7,2939705,429030,615057,175.8,156.2,19.6,2955550,427382,536834
"음료 제조업","100~299인",178.2,154.2,24.0,4022839,780248,982777,175.9,151.0,24.9,3976642,854773,1150173,179.6,154.4,25.2,4128531,912497,1164020
"음료 제조업","300인이상",175.8,149.0,26.8,3386703,1046734,1455096,170.0,146.6,23.5,3292698,945251,1953377,169.9,147.5,22.5,3490095,935990,1727351
"담배 제조업","5~9인",,,,,,,,,,,,,,,,,,
"담배 제조업","10~29인",,,,,,,,,,,,,176.0,176.0,,3530455,,
"담배 제조업","30~99인",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"담배 제조업","100~299인",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"담배 제조업","300인이상",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"섬유제품 제조업; 의복 제외","5~9인",163.1,156.4,6.6,2887770,145435,64864,164.7,157.9,6.7,2974529,123330,135496,167.0,158.6,8.4,2948263,144427,45428
"섬유제품 제조업; 의복 제외","10~29인",189.6,159.8,29.8,2650498,555178,53394,190.1,160.9,29.2,2737830,560808,57237,190.7,160.2,30.5,2883980,549604,50248
"섬유제품 제조업; 의복 제외","30~99인",168.0,147.5,20.5,2386179,397224,124673,174.8,153.7,21.1,2404085,440584,121937,178.1,156.7,21.3,2497453,449845,95361
"섬유제품 제조업; 의복 제외","100~299인",181.5,160.8,20.7,2794357,532691,237942,185.1,163.7,21.5,2967943,665405,276943,182.8,161.8,21.0,3001247,632446,388436
"섬유제품 제조업; 의복 제외","300인이상",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"의복, 의복 액세서리 및 모피제품 제조업","5~9인",156.8,156.8,,2606122,,25167,163.9,163.9,,2546678,,57943,168.4,168.4,,2520152,,25105
"의복, 의복 액세서리 및 모피제품 제조업","10~29인",161.4,157.4,4.1,2928224,67629,55929,162.2,159.0,3.2,3012545,68659,100710,165.3,158.3,7.0,3094706,135972,112637
"의복, 의복 액세서리 및 모피제품 제조업","30~99인",166.9,156.1,10.8,2937426,211619,86436,169.3,156.9,12.4,2992876,240584,44599,167.3,155.9,11.4,2955277,210771,47656
"의복, 의복 액세서리 및 모피제품 제조업","100~299인",166.6,158.0,8.6,3613536,172979,63048,171.8,163.5,8.3,3679266,170552,120633,169.4,160.8,8.6,3742212,158489,203911
"의복, 의복 액세서리 및 모피제품 제조업","300인이상",162.5,154.9,7.6,4225119,220152,849299,163.4,156.0,7.4,4199509,203621,673440,163.9,156.6,7.3,4388638,216114,813551
"가죽, 가방 및 신발 제조업","5~9인",158.6,155.7,2.9,3077221,17825,85772,154.0,150.6,3.4,3109111,26883,103722,161.9,156.1,5.8,3086779,25796,57737
"가죽, 가방 및 신발 제조업","10~29인",159.0,154.8,4.3,2795652,72155,35857,157.9,154.3,3.6,2805213,83735,17004,164.3,161.3,3.0,3020274,88254,22273
"가죽, 가방 및 신발 제조업","30~99인",166.6,155.6,11.0,2719001,168207,16424,167.6,155.3,12.3,2677878,204139,19242,177.7,158.7,19.0,2772387,398231,47304
"가죽, 가방 및 신발 제조업","100~299인",153.8,149.5,4.3,3154212,389918,35590,164.6,157.6,7.1,3281268,444775,15722,165.2,157.4,7.7,3437423,338186,61384
"가죽, 가방 및 신발 제조업","300인이상",,,,,,,,,,,,,176.0,176.0,,2701633,,
"목재 및 나무제품 제조업; 가구 제외","5~9인",171.4,163.0,8.5,2625194,163942,52581,172.2,163.2,9.0,2665837,206821,93503,177.0,159.3,17.7,2604002,333684,37884
"목재 및 나무제품 제조업; 가구 제외","10~29인",187.6,165.8,21.8,2937196,348480,159219,184.8,165.6,19.1,3069660,315249,236526,186.9,164.1,22.9,3150685,403889,151979
"목재 및 나무제품 제조업; 가구 제외","30~99인",206.3,162.3,44.0,3301596,820494,294205,218.6,166.1,52.5,3429906,969302,396625,213.7,162.5,51.1,3404420,959305,302085
"목재 및 나무제품 제조업; 가구 제외","100~299인",188.7,159.3,29.4,3155236,631746,573199,191.9,161.3,30.6,3124974,620415,970274,190.8,161.1,29.7,3193716,665770,624987
"목재 및 나무제품 제조업; 가구 제외","300인이상",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
"펄프, 종이 및 종이제품 제조업","5~9인",197.6,170.6,26.9,2500348,426947,60193,199.3,171.8,27.4,2504978,496856,135804,192.1,169.9,22.2,2631295,405187,45184
"펄프, 종이 및 종이제품 제조업","10~29인",175.7,160.7,15.0,2689790,302953,204724,185.5,163.0,22.5,2688088,430273,183166,184.3,161.7,22.6,2757491,434208,170911
"펄프, 종이 및 종이제품 제조업","30~99인",194.7,161.6,33.1,2772170,600228,132331,200.5,165.3,35.2,2848087,641501,152639,192.3,162.1,30.2,2921540,597398,163014
"펄프, 종이 및 종이제품 제조업","100~299인",196.4,159.4,37.0,2772105,820806,596970,197.7,162.1,35.6,2745248,858756,903055,195.9,160.2,35.7,2741932,805851,725368
"펄프, 종이 및 종이제품 제조업","300인이상",170.7,149.9,20.7,3710155,876559,1962271,170.8,149.7,21.0,3683210,882136,2741657,175.2,152.9,22.2,3758518,952186,1972375
"인쇄 및 기록매체 복제업","5~9인",163.6,159.3,4.4,2821978,70815,95866,164.7,163.0,1.7,2860516,21103,284796,165.8,162.6,3.2,3039161,41103,88082
"인쇄 및 기록매체 복제업","10~29인",177.0,156.8,20.3,2581176,338869,64785,178.7,157.8,20.9,2601661,375697,126561,181.2,159.1,22.1,2704467,424263,49917
"인쇄 및 기록매체 복제업","30~99인",175.0,154.3,20.6,2987702,412781,46713,179.7,159.3,20.4,2995724,404475,56872,184.3,160.6,23.6,3066551,477724,61934
"인쇄 및 기록매체 복제업","100~299인",184.3,153.7,30.6,2661930,775464,247177,188.6,155.5,33.0,2633578,769055,395432,189.2,156.5,32.8,2733296,798358,228215
"인쇄 및 기록매체 복제업","300인이상",,,,,,,,,,,,,,,,,,
"코크스, 연탄 및 석유정제품 제조업","5~9인",170.9,164.2,6.7,3556534,108826,177390,173.7,166.3,7.5,3615996,118729,289284,169.7,163.9,5.8,3584723,102108,133731
"코크스, 연탄 및 석유정제품 제조업","10~29인",172.0,161.4,10.6,3515681,198667,378885,176.5,164.7,11.8,3565870,223974,632832,175.2,163.0,12.2,3664002,234921,406313
"코크스, 연탄 및 석유정제품 제조업","30~99인",173.9,162.1,11.8,4154645,322072,1061335,174.8,163.2,11.6,4133887,316836,1201262,172.3,160.6,11.6,4366910,324968,934649
"코크스, 연탄 및 석유정제품 제조업","100~299인",168.3,156.1,12.2,4396617,636083,1837795,170.6,159.6,10.9,3871535,514252,2356294,166.4,156.0,10.5,4327707,527168,1964804
"코크스, 연탄 및 석유정제품 제조업","300인이상",170.6,156.1,14.5,4033343,842406,4221362,170.5,153.8,16.6,3694983,863540,3247396,170.4,153.0,17.5,4161933,950507,3121834
"화학 물질 및 화학제품 제조업; 의약품 제외","5~9인",161.0,156.2,4.8,3196866,109775,229846,161.8,157.1,4.7,3218159,122822,190372,162.8,157.3,5.5,3307728,117572,256631
"화학 물질 및 화학제품 제조업; 의약품 제외","10~29인",173.2,158.2,15.0,3291485,273103,215544,173.0,159.0,14.0,3324819,278610,301608,173.8,159.7,14.1,3382686,302915,176977
"화학 물질 및 화학제품 제조업; 의약품 제외","30~99인",179.1,159.4,19.7,3338965,457428,438244,180.3,161.9,18.4,3370675,448578,483123,180.2,160.8,19.4,3387294,478176,468770
"화학 물질 및 화학제품 제조업; 의약품 제외","100~299인",179.8,158.0,21.8,3645869,774527,1367529,181.6,159.3,22.3,3831300,811675,1334242,181.6,158.7,22.9,3744881,813287,1501815
"화학 물질 및 화학제품 제조업; 의약품 제외","300인이상",178.3,157.2,21.2,3914989,990576,1888720,179.7,158.2,21.5,3984349,1017443,1780464,179.4,157.4,21.9,4062490,1068683,2150196
"의료용 물질 및 의약품 제조업","5~9인",165.1,162.5,2.5,2805788,43330,40052,168.0,165.8,2.2,2849813,32802,54307,163.2,160.6,2.6,2868325,39759,40170
"의료용 물질 및 의약품 제조업","10~29인",166.7,158.9,7.8,3158180,195144,176154,167.6,161.2,6.4,3065697,197241,108972,165.2,160.0,5.2,3269959,166727,172768
