,현인원,구인인원,채용인원,미충원인원,부족인원,채용계획인원,규모,산업
0,0,0,0,0,0,0,1규모(5~9인),B05 석탄 원유 및 천연가스 광업
1,0,0,0,0,0,0,1규모(5~9인),B06 금속 광업
2,1599,63,63,0,14,14,1규모(5~9인),B07 비금속광물 광업; 연료용 제외
3,0,0,0,0,0,0,1규모(5~9인),B08 광업 지원 서비스업
4,30175,1153,1045,108,2408,2413,1규모(5~9인),C10 식료품 제조업
5,639,7,7,0,15,15,1규모(5~9인),C11 음료 제조업
6,0,0,0,0,0,0,1규모(5~9인),C12 담배 제조업
7,18892,430,309,121,481,481,1규모(5~9인),C13 섬유제품 제조업; 의복 제외
8,14511,527,527,0,333,333,1규모(5~9인),C14 의복 의복 액세서리 및 모피제품 제조업
9,4736,4,4,0,0,0,1규모(5~9인),C15 가죽 가방 및 신발 제조업
10,7322,415,307,108,314,353,1규모(5~9인),C16 목재 및 나무제품 제조업; 가구 제외
11,9733,156,46,110,234,234,1규모(5~9인),C17 펄프 종이 및 종이제품 제조업
12,10128,354,248,106,386,393,1규모(5~9인),C18 인쇄 및 기록매체 복제업
13,127,0,0,0,0,0,1규모(5~9인),C19 코크스 연탄 및 석유정제품 제조업
14,16695,1198,665,533,1186,1186,1규모(5~9인),C20 화학 물질 및 화학제품 제조업; 의약품 제외
15,964,0,0,0,8,8,1규모(5~9인),C21 의료용 물질 및 의약품 제조업
16,33249,1377,1150,227,1950,1926,1규모(5~9인),C22 고무 및 플라스틱제품 제조업
17,15836,864,532,332,1062,1035,1규모(5~9인),C23 비금속 광물제품 제조업
18,13720,333,175,158,574,643,1규모(5~9인),C24 1차 금속 제조업
19,76333,2559,2333,226,2971,2757,1규모(5~9인),C25 금속 가공제품 제조업; 기계 및 가구 제외
20,18374,368,238,130,550,632,1규모(5~9인),C26 전자 부품 컴퓨터 영상 음향 및 통신장비 제조업
21,17256,355,355,0,600,571,1규모(5~9인),C27 의료 정밀 광학 기기 및 시계 제조업
22,31259,1045,761,284,773,819,1규모(5~9인),C28 전기장비 제조업
23,60619,2811,1858,953,3188,3177,1규모(5~9인),C29 기타 기계 및 장비 제조업
24,15409,370,357,13,575,593,1규모(5~9인),C30 자동차 및 트레일러 제조업
25,5911,55,22,33,34,34,1규모(5~9인),C31 기타 운송장비 제조업
26,12043,364,298,66,640,640,1규모(5~9인),C32 가구 제조업
27,10366,62,62,0,164,164,1규모(5~9인),C33 기타 제품 제조업
28,6073,237,203,34,150,165,1규모(5~9인),C34 산업용 기계 및 장비 수리업
29,1724,35,30,5,13,13,1규모(5~9인),D35 전기 가스 증기 및 공기 조절 공급업
30,55,1,1,0,1,1,1규모(5~9인),E36 수도업
31,2321,75,48,27,34,34,1규모(5~9인),E37 하수 폐수 및 분뇨 처리업
32,9772,553,488,65,180,189,1규모(5~9인),E38 폐기물 수집 운반 처리 및 원료 재생업
33,11,0,0,0,0,0,1규모(5~9인),E39 환경 정화 및 복원업
34,104244,14525,14408,117,1562,680,1규모(5~9인),F41 종합 건설업
