,산업분류,규모별,상용총근로시간,상용소정실근로시간,상용초과근로시간,상용정액급여,상용초과급여,상용특별급여
1,"석탄, 원유 및 천연가스 광업",5~9인,NaN,NaN,NaN,NaN,NaN,NaN
2,"석탄, 원유 및 천연가스 광업",10~29인,NaN,NaN,NaN,NaN,NaN,NaN
3,"석탄, 원유 및 천연가스 광업",30~99인,175.70000000000002,160.63333333333333,15.033333333333333,4636670.0,548682.6666666666,786429.3333333334
4,"석탄, 원유 및 천연가스 광업",100~299인,NaN,NaN,NaN,NaN,NaN,NaN
5,"석탄, 원유 및 천연가스 광업",300인이상,NaN,NaN,NaN,NaN,NaN,NaN
6,금속 광업,5~9인,NaN,NaN,NaN,NaN,NaN,NaN
7,금속 광업,10~29인,NaN,NaN,NaN,NaN,NaN,NaN
8,금속 광업,30~99인,NaN,NaN,NaN,NaN,NaN,NaN
9,금속 광업,100~299인,NaN,NaN,NaN,NaN,NaN,NaN
10,금속 광업,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
11,비금속광물 광업; 연료용 제외,5~9인,181.79999999999998,175.86666666666667,5.966666666666666,3042507.6666666665,116180.0,125168.0
12,비금속광물 광업; 연료용 제외,10~29인,199.4,176.29999999999998,23.099999999999998,3530760.6666666665,460419.6666666667,183895.0
13,비금속광물 광업; 연료용 제외,30~99인,200.16666666666666,168.16666666666666,31.96666666666667,3521415.6666666665,722342.6666666666,389771.3333333333
14,비금속광물 광업; 연료용 제외,100~299인,NaN,NaN,NaN,NaN,NaN,NaN
15,비금속광물 광업; 연료용 제외,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
16,광업 지원 서비스업,5~9인,NaN,NaN,NaN,NaN,NaN,NaN
17,광업 지원 서비스업,10~29인,NaN,NaN,NaN,NaN,NaN,NaN
18,광업 지원 서비스업,30~99인,NaN,NaN,NaN,NaN,NaN,NaN
19,광업 지원 서비스업,100~299인,NaN,NaN,NaN,NaN,NaN,NaN
20,광업 지원 서비스업,300인이상,NaN,NaN,NaN,NaN,NaN,NaN
21,식료품 제조업,5~9인,164.7,161.03333333333333,3.633333333333333,2529621.6666666665,47455.666666666664,290672.3333333333
22,식료품 제조업,10~29인,169.3,160.46666666666667,8.833333333333334,2428374.6666666665,151842.0,158766.0
23,식료품 제조업,30~99인,175.33333333333334,159.00000000000003,16.333333333333332,2629998.6666666665,333740.3333333333,282710.0
24,식료품 제조업,100~299인,192.4333333333333,155.86666666666667,36.63333333333333,2406356.3333333335,754340.3333333334,534757.3333333334
25,식료품 제조업,300인이상,195.4333333333333,154.73333333333332,40.76666666666667,2475594.0,881468.3333333334,607781.6666666666
26,음료 제조업,5~9인,166.93333333333334,161.4333333333333,5.5,2583068.6666666665,89475.33333333333,351780.0
27,음료 제조업,10~29인,159.8,150.79999999999998,8.966666666666667,2678325.3333333335,195148.0,294709.0
28,음료 제조업,30~99인,177.86666666666667,156.93333333333334,20.933333333333334,2943340.6666666665,443627.0,571978.6666666666
29,음료 제조업,100~299인,177.9,153.20000000000002,24.7,4042670.6666666665,849172.6666666666,1098990.0
30,음료 제조업,300인이상,171.9,147.70000000000002,24.266666666666666,3389832.0,975991.6666666666,1711941.3333333333
