기업명,내용,고용형태,경력,주소1,주소2,기간,직무키워드
㈜유한화학,                                2022년 유한화학 신입사원 채용,신입,학력무관,경기,경기 안산시 외,~12/30(목),"수처리시설관리, 바이오, 생명공학, 의약, 제약, 6시그마, 공정, 공정관리, 생산, 생산관리, 안전, 원가관리, 품질, 품질검사, 품질관리, 품질보증, QA, 기계, 기능직, 생산직, 운전, 제조, 기술연구소, 기술직, 연구관리, 제품개발, 화학, 환경, R&D, 약사, 의약사무"
아시아나IDT㈜,                                아시아나IDT 22년 상반기 대졸 신입사원 채용,신입,대졸↑,서울,서울 종로구,~01/03(월),"모바일앱개발, 네트워크관리, 네트워크엔지니어, 보안관제, 보안기술, 서버관리자, 서버구축, 시스템운영, 정보보안, CCNA, LAN, Linux, Unix, .NET, 응용프로그래머, C, Java, Linux, 시스템프로그래머, 임베디드, 펌웨어, 시스템분석, 시스템설계, 시스템엔지니어, 유지보수, 펌웨어, 소프트웨어"
㈜아프리카TV,                                2022년 신입사원 공개채용,신입,학력무관,경기 외,경기 성남시 외,~12/28(화),"인터넷방송, 기획, 기획조사, 서비스기획, 전략, 비품관리, 사무관리, 사무행정, 시설관리, 자산관리, 총무, OA, 공시, 주식IR, 광고기획, 마케팅, 마케팅기획, 소셜미디어, 키워드광고, AE, 광고영업, 매체광고영업, 온라인광고영업, 게임개발, 게임기획, 게임마케팅, 게임운영, 모바일게임, 온라인게임, 게임방송, 서버, Windows, 네트워크관리, 네트워크엔지니어, 보안관제, 서버관리자, 서버구축, 시스템운영, 정보보안, Linux, Windows, 모바일기획, 웹기획, 웹서비스기획, 컨텐츠기획, UI설계, 온라인마케팅, 웹광고기획, 웹마케팅, 웹프로그래머, HTML, Java, jsp, mHTML, MS-SQL, Python, 아이폰, 안드로이드, 응용프로그래머, 전산전공, API, Application, C, C++, Java, Linux, Python, Windows, 시스템프로그래머, 컨텐츠개발, 컨텐츠관리, 컨텐츠에디터, 자바스크립트, CSS, CSS3, HTML5, HTML코딩, UI·UX, 시스템분석, 시스템설계, 시스템엔지니어, 유지보수, 소프트웨어, 네트워크엔지니어, 방송기획, 광고기획, 산업위생관리기사"
㈜대우건설,                                2022 대우건설 상반기 신입사원 채용,신입,대졸↑,서울,서울 종로구,~01/03(월),"기획, 기획조사, 사업기획, 서비스기획, 인사, 인사기획, 인사통합, 세무, 재무, 재무기획, 재무회계, 안전, 환경관리, 기계, 설비, 건설, 건축, 기계, 플랜트, 전기·전자, 원자력, 환경, 전기, 전기·전자회로, 전기설비, 건축설계, 건축설비설계, 기계설계, 전기설계, 조경설계, 토목설계, 건축설계, 건축시공, 인테리어, 인테리어설계, 인테리어시공, 건축감리, 건축시공, 시공, 시공감리, 토목감리, 현장감리, 현장관리, 조경, 토목, 토목기사, 도시계획, 구조, 건설안전, 건축설비, 기계설비, 산업안전, 안전, 전기기사, 전기설비, 플랜트, 환경, 환경기사, 안전, 전기관리"
㈜머스트잇,                                [온라인 명품커머스] 각 분야별 인재 채용,신입·경력,대졸↑,서울 외,서울 강남구 외,~01/10(월),"채용·면접, 무역업, 오픈마켓, 전자상거래, B2C, 경영기획, 사업기획, 전략, 조직관리, 타당성분석, 법무, 복리후생관리, 사무관리, 사무행정, 인허가업무, 저작권관리, 인사, 인사기획, 인재개발, 경영지원, 회계, 회계감사, 세무, 재무, 광고기획, 마케팅, 마케팅기획, 브랜딩, 소셜미디어, 시장분석, 홍보, PR, SNS운영, 영어, MD, 무역, 무역사무, 오더관리, 통관, 상품기획, 상품입출고, 온라인MD, 패션MD, MD, AMD, 검증, 데이터베이스, SQL, 네트워크관리, 네트워크엔지니어, 서버관리자, 서버구축, 시스템운영, Linux, 모바일기획, 웹기획, 웹서비스기획, 통계·로그분석, PM, 웹프로그래머, Java, MySQL, php, Python, 아이폰, 안드로이드, 응용프로그래머, 전산전공, API, Application, 쇼핑몰, 웹사이트운영, 컨텐츠관리, 컨텐츠에디터, 웹퍼블리셔, 자바스크립트, CSS, 시스템분석, 요구분석, 데이터분석, 법률서비스, 법무대리, 소송·민사·등기, 지적재산권, 경영기획, M&A"
㈜웹젠,                                2022년 전 부문 수시채용,신입·경력,학력무관,경기,경기 성남시,~01/27(목),"채용·면접, 게임보안, 국내사업, 밸런스기획, 소싱, 시스템기획, 연말정산, 조직문화, 콘텐츠기획, AWS, TA, UI·UX디자인, 스토어관리, 모바일스토어관리, 게임개발, 게임기획, 게임디자인, 게임마케팅, 게임소프트웨어, 기획, 사업기획, 서비스기획, 신규사업·BD, 조직관리, 총무, 급여관리, 노무, 노사관리, 보상·승진, 인사, 인사기획, 4대보험, 급여관리, 부가세신고, 세무, 회계, 결산, 세무, 재무회계, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 소셜미디어, 시장분석, 키워드광고, 프로모션, 프로모션, 홍보, 홍보기획, SNS운영, 영어, 일본어, 중국어, 해외마케팅, 구매관리, 자재구매기획, 매출관리, 영업관리, 영업기획, 영업지원, 게임개발, 게임기획, 게임마케팅, 게임시나리오, 게임운영, 모델링, 모바일게임, 캐릭터, 서버, MMORPG, DBA, MS-SQL, MySQL, 보안관리, 보안기술, 정보보안, Linux, Windows, PM, 웹프로그래머, APM, Java, jsp, SQL, Linux, Windows, UI·UX, UI·UX디자인, 시스템분석, 시스템엔지니어, 요구분석, DBA, PM, 데이터분석, 애니메이션, 영상디자인, 게임시나리오, 시장조사"
(주)홈초이스,                                경영지원(정규직) 담당자 채용,신입·경력,대졸↑,서울,서울 마포구,~01/07(금),"채용·면접, 케이블방송, 프로덕션, 광고기획, 광고제작, 온라인광고, SIGN, 배급유통사, 영화기획사, 기획, 사업기획, 서비스기획, 신규사업·BD, 전략, 인사, 인사기획, 인사통합, 인재개발, 문서관리, 문서작성, 정보처리기사, Excel, OA, PowerPoint"
중앙일보엠앤피㈜,                                현장운영조직관리 경력사원 채용,경력,대졸↑,서울,서울 마포구 외,~12/31(금),"채용·면접, 상품기획, KPI관리, 영업평가, 신문사, 언론사, 잡지사, 기획, 사업기획, 사업제휴, 서비스기획, 신규사업·BD, 관리, 비품관리, 사무관리, 사무행정, 인허가업무, 임금관리, 자산관리, 교육, 교육기획, 교육훈련, 급여관리, 노사관리, 보상·승진, 성과관리, 인사기획, 인사통합, 인재개발, 임금관리, HRD, MBO, 광고기획, 마케팅, 마케팅기획, 바이럴마케팅, 시장분석, 업무제휴, 판촉, 프로모션, 이벤트, 프로모션, 홍보, 홍보기획, 배차, 자재관리, 물류관리, 유통관리, 자재관리, 자재통합, 물류, 상품기획, 유통관리, 재고관리, 납품관리, 매출관리, 영업관리, 영업기획, 영업지원, 외주관리"
한미헬스케어㈜,                                2021년 12월 수시채용(인사/기획부문)                            ,경력5년↑,초대졸↑,서울 외,서울 송파구 외,~01/02(일),"채용·면접, 건강, 바이오, 보건, 의료기기, 의약, 경영기획, 기획, 사업기획, 서비스기획, 전략, 관리, 문서관리, 사무관리, 사무행정, 의약사무, 임금관리, 총무, 교육, 교육기획, 교육훈련, 노무, 보상·승진, 인사, 인사기획, 인사통합, 임금관리, HRD, HRM, 경영지원, 통계, 제약영업, 제약영업, 모바일기획, 웹기획, 웹서비스기획, 통계·로그분석, 데이터분석, 제약, 의약사무, 제약연구개발, 통계"
㈜유니온,                                2022년 상반기 대졸사원 채용,신입·경력,대졸↑,서울 외,서울 중구 외,~01/03(월),"채용·면접, 건설자재, 건축자재, 금속, 금속가공, 금속재료, 금형, 레미콘, 시멘트, 교수설계, 교육, 교육기획, 교육훈련, 급여관리, 노사관리, 목표관리, 보상·승진, 성과관리, 인사, 인사기획, 인사통합, 인재개발, 직무분석, 무역일반, 바이어개발, 바이어관리, 바이어상담, 수출입계약, 영어, 중국어, 해외영업, 구매관리, 상품입출고, 외자구매, 유통관리, 자재구매, 국내영업, 기술영업, 납품영업, 법인영업, 일반영업, 가맹점관리, 거래선개발관리, 거래처관리, 고객관리, 납품관리, 대리점관리, 매출관리, 영업관리, 영업기획, 영업지원, 외주관리, 공정, 공정관리, 생산, 생산관리, 안전, 원가관리, 자재관리, 품질, 품질검사, 품질관리, 품질보증, 환경관리, 금속, 기계, 설비, 시멘트, 제조, 기구설계, 기술연구소, 기술직, 생명공학, 생산기술, 실험, 에너지, 연구관리, 연구원, 원자력, 제품개발, 화학, 환경, R&D, 건설현장, 건축감리, 건축자재, 건축CM, 공무, 공사감리, 노무, 설계감리"
